Resident_Male,Genotype,Trials_List,Total_Time,Attack_Latency,Rearing,Lateral_Threat,Clinch_Attack,Upright_Posture,Keep_Down,Chase,Move_Toward,Ano-genital_Sniffing,Social_Exploration,Non_social_explore,Rest/Inactivity
KO_Res1,KO,Day_1_Trial,600,0,16,0,0,8,0,3,28,190,170,160,25
KO_Res1,KO,Day_2_Trial,600,0,33,0,0,2,0,2,38,195,120,186,24
KO_Res1,KO,Day_3_Trial,600,0,30,0,0,4,0,3,35,140,240,103,45
KO_Res2,KO,Day_1_Trial,600,0,55,0,0,0,0,20,40,195,50,235,5
KO_Res2,KO,Day_2_Trial,600,0,75,0,0,0,0,2,30,106,52,318,17
KO_Res2,KO,Day_3_Trial,600,0,70,0,0,0,0,0,25,140,110,245,10
KO_Res3,KO,Day_1_Trial,600,0,33,0,0,0,0,0,24,155,73,295,20
KO_Res3,KO,Day_2_Trial,600,0,39,5,0,2,2,10,25,220,182,95,20
KO_Res3,KO,Day_3_Trial,600,0,30,45,50,28,20,10,27,150,98,134,8
WT_Res1,WT,Day_1_Trial,600,440,20,2,7,0,9,18,30,208,160,143,3
WT_Res1,WT,Day_2_Trial,600,0,27,0,0,20,0,10,23,230,145,135,10
WT_Res1,WT,Day_3_Trial,600,533,50,18,45,9,25,6,45,120,130,147,5
KO_Res4,KO,Day_1_Trial,600,0,70,0,43,20,30,45,10,122,80,160,20
KO_Res4,KO,Day_2_Trial,600,0,55,0,0,0,0,10,35,205,175,110,10
KO_Res4,KO,Day_3_Trial,600,0,85,0,0,4,0,12,20,150,115,200,14
WT_Res2,WT,Day_1_Trial,600,0,55,0,0,10,0,25,45,90,105,260,10
WT_Res2,WT,Day_2_Trial,600,0,70,0,0,0,0,14,35,150,100,220,11
WT_Res2,WT,Day_3_Trial,600,151,54,10,25,21,25,15,25,85,75,240,25
WT_Res3,WT,Day_1_Trial,600,0,55,0,0,10,0,10,45,145,95,210,30
WT_Res3,WT,Day_2_Trial,600,246,60,12,40,15,10,18,35,115,70,190,35
WT_Res3,WT,Day_3_Trial,600,0,73,0,0,20,0,12,25,105,125,220,20
KO_Res5,KO,Day_1_Trial,600,0,60,0,0,11,20,15,30,140,120,200,4
KO_Res5,KO,Day_2_Trial,600,0,50,0,0,0,0,20,50,195,125,145,15
KO_Res5,KO,Day_3_Trial,600,0,30,0,0,10,0,10,40,175,215,112,8
KO_Res6,KO,Day_1_Trial,600,0,20,18,45,10,15,25,50,70,130,195,22
KO_Res6,KO,Day_2_Trial,600,0,65,0,0,10,0,10,55,120,100,220,20
KO_Res6,KO,Day_3_Trial,600,0,60,0,0,13,2,10,25,105,120,265,0
Het_Res1,HET,Day_1_Trial,600,320,30,10,60,12,10,8,25,140,60,220,25
Het_Res1,HET,Day_2_Trial,600,192,50,10,12,28,25,15,20,145,70,225,0
Het_Res1,HET,Day_3_Trial,600,163,45,10,102,9,20,10,50,85,45,210,14
WT_Res4,WT,Day_1_Trial,600,0,35,0,0,5,0,0,60,105,70,305,20
WT_Res4,WT,Day_2_Trial,600,0,20,0,0,2,0,10,57,130,90,283,8
WT_Res4,WT,Day_3_Trial,600,0,53,0,0,0,0,5,28,92,168,242,12
KO_Res7,KO,Day_1_Trial,600,0,20,0,0,0,0,12,45,133,170,210,10
KO_Res7,KO,Day_2_Trial,600,0,40,0,0,14,0,25,50,150,100,215,6
KO_Res7,KO,Day_3_Trial,600,0,15,20,67,12,43,22,13,175,103,130,0
KO_Res8,KO,Day_1_Trial,600,0,40,0,0,0,0,5,25,200,115,190,25
KO_Res8,KO,Day_2_Trial,600,0,30,0,0,10,0,15,42,143,155,200,5
KO_Res8,KO,Day_3_Trial,600,0,25,0,0,15,0,14,30,205,120,185,6
R18,WT,Day_1_Trial,600,330,0,0,22,2,19,28,25,49,100,336,19
R18,WT,Day_2_Trial,600,127,8,0,74,0,2,51,13,11,73,345,23
R18,WT,Day_3_Trial,600,48,6,0,39,2,2,55,16,37,97,322,24